********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : cvd                                                                         *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][LogFilesCleanup] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CvBasicLib.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][LogFilesCleanup]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][CleanupWebPackages] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\ServerManager.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][CleanupWebPackages]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][ReviseDebugLogSetting] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CvBasicLib.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][ReviseDebugLogSetting]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][CleanDebugLogSubFolder] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CvBasicLib.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][CleanDebugLogSubFolder]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][ClientSystemPerformanceMonitoring] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\EvMgrCLib.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][ClientSystemPerformanceMonitoring]
