*************************************************************************************************
* Physical Machine : SANBGW                                                                     *
* Hostname         : SanBGW                                                                     *
* Module           : InstallUpdates/RemoveUpdates                                               *
* Version          : 11.2801.0                                                                  *
* OS Type          : Microsoft Windows Server 2012 Server 4.0  (Build 9200)                     *
*************************************************************************************************
4484   5272   06/30 06:40:21 ###      [GxMONGO] not installed [Startup State=-1]
4484   5496   06/30 06:40:21 ###      Stopping service CvMonitoring...
4484   5496   06/30 06:40:21 ###      [CvMonitoring] not installed [Startup State=-1]
4484   4212   06/30 06:40:21 ###      Stopping service GxBLR...
4484   4212   06/30 06:40:21 ###      [GxBLR] already stopped [Startup State=4]
4484   1392   06/30 06:40:21 ###      Stopping service CVPyAnalyticsService...
4484   4132   06/30 06:40:21 ###      Stopping service CvDrill...
4484   1392   06/30 06:40:21 ###      [CVPyAnalyticsService] not installed [Startup State=-1]
4484   4132   06/30 06:40:21 ###      [CvDrill] not installed [Startup State=-1]
4484   3892   06/30 06:40:21 ###      Stopping service CVContentPreview...
4484   4016   06/30 06:40:21 ###      Stopping service CvMessageQueue...
4484   3892   06/30 06:40:21 ###      [CVContentPreview] not installed [Startup State=-1]
4484   4388   06/30 06:40:21 ###      Stopping service GxImapServer...
4484   4388   06/30 06:40:21 ###      [GxImapServer] not installed [Startup State=-1]
4484   4608   06/30 06:40:21 ###      Stopping service GxClMgrS...
4484   2740   06/30 06:40:21 ###      Stopping service CVAnalytics...
4484   2228   06/30 06:40:21 ###      Stopping service GxVssHWProv...
4484   4112   06/30 06:40:21 ###      Stopping service GxExIdxServer...
4484   4608   06/30 06:40:21 ###      [GxClMgrS] already stopped [Startup State=4]
4484   4112   06/30 06:40:21 ###      [GxExIdxServer] not installed [Startup State=-1]
4484   3084   06/30 06:40:21 ###      Stopping service CVJavaWorkflow...
4484   3084   06/30 06:40:21 ###      [CVJavaWorkflow] not installed [Startup State=-1]
4484   2352   06/30 06:40:21 ###      Stopping service CVLicSrv...
4484   2352   06/30 06:40:21 ###      [CVLicSrv] not installed [Startup State=-1]
4484   4144   06/30 06:40:21 ###      Stopping service QNServer...
4484   4144   06/30 06:40:21 ###      [QNServer] not installed [Startup State=-1]
4484   5784   06/30 06:40:21 ###      Stopping service GXReportingServer...
4484   5784   06/30 06:40:21 ###      [GXReportingServer] not installed [Startup State=-1]
4484   5636   06/30 06:40:21 ###      Stopping service GxVSSPRov...
4484   6036   06/30 06:40:21 ###      Stopping service GxDCAdminService...
4484   5636   06/30 06:40:21 ###      [GxVSSPRov] not installed [Startup State=-1]
4484   6036   06/30 06:40:21 ###      [GxDCAdminService] not installed [Startup State=-1]
4484   4596   06/30 06:40:21 ###      Stopping service GXDC Service(Instance001)...
4484   3184   06/30 06:40:21 ###      Stopping service CVRepSvc...
4484   4596   06/30 06:40:21 ###      [GXDC Service(Instance001)] not installed [Startup State=-1]
4484   3228   06/30 06:40:21 ###      Stopping service GxJobMgr...
4484   3184   06/30 06:40:21 ###      [CVRepSvc] not installed [Startup State=-1]
4484   5044   06/30 06:40:21 ###      Stopping service GXHSM NTAP Recaller...
4484   3228   06/30 06:40:21 ###      [GxJobMgr] not installed [Startup State=-1]
4484   5044   06/30 06:40:21 ###      [GXHSM NTAP Recaller] not installed [Startup State=-1]
4484   3596   06/30 06:40:21 ###      Stopping service GxHSM Recaller...
4484   5464   06/30 06:40:21 ###      Stopping service GxMMM...
4484   3596   06/30 06:40:21 ###      [GxHSM Recaller] not installed [Startup State=-1]
4484   5660   06/30 06:40:21 ###      Stopping service GxApM...
4484   5464   06/30 06:40:21 ###      [GxMMM] already stopped [Startup State=4]
4484   5660   06/30 06:40:21 ###      [GxApM] not installed [Startup State=-1]
4484   5488   06/30 06:40:21 ###      Stopping service GxMLM...
4484   2004   06/30 06:40:21 ###      Stopping service GxEvMgrS...
4484   5488   06/30 06:40:21 ###      [GxMLM] not installed [Startup State=-1]
4484   2004   06/30 06:40:21 ###      [GxEvMgrS] not installed [Startup State=-1]
4484   392    06/30 06:40:21 ###      Stopping service GxQSDK...
4484   392    06/30 06:40:21 ###      [GxQSDK] not installed [Startup State=-1]
4484   4016   06/30 06:40:24 ###      [CvMessageQueue] not installed [Startup State=-1]
4484   2228   06/30 06:40:27 ###      [GxVssHWProv] not installed [Startup State=-1]
4484   2740   06/30 06:40:30 ###      [CVAnalytics] not installed [Startup State=-1]
4484   3784   06/30 06:40:30 ###      Stopping service GxCVD...
4484   3784   06/30 06:40:30 ###      [GxCVD] already stopped [Startup State=4]
4484   3784   06/30 06:40:30 ###      Stopping service GxFWD...
4484   3784   06/30 06:40:30 ###      [GxFWD] already stopped [Startup State=4]
4484   3784   06/30 06:40:30 ###      Not stopping application pool as WebServer/WebConsole/OWAProxyEnabler/Commcell console/Index Gateway/WebServerLite is not installed
4484   3784   06/30 06:40:31 ###      Checking if special processes ('\base\sidb2.exe', '\base\sidb2_80.exe', '\base\sidb.exe', '\base\sidb_80.exe', '\ciserver\bin\tomcat6.exe', '\base\cvods.exe') are running...
4484   3784   06/30 06:40:31 ###      Special processes were not running or already stopped...
4484   3784   06/30 06:40:32 ###      None of the special processes are running, Proceeding with installation.
4484   3784   06/30 06:40:32 ###      Starting update installation phase
4484   3784   06/30 06:40:32 ###      Installing Maintenance Release 20
4484   3784   06/30 06:40:32 ###      Installing Update SP2801-HotFix-5
4484   3784   06/30 06:40:32 ###      Installing Update SP2801-HotFix-5
4484   3784   06/30 06:40:32 ###      Installing the update for packages: WindowsFileSystemiDataAgentCore(1) MediaAgent(51) MediaAgentCore(54) WindowsFileSystemiDataAgentAdvanced(702) VirtualServerAgent(713)
4484   3784   06/30 06:40:32 ###      Copying files for WindowsFileSystemiDataAgentCore(1)
4484   3784   06/30 06:40:32 ###      File [DistributedIDA.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CvDLPDrivercallback.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CLDBClientApi.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [GxWinClusterPlugin.exe] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CVThrottlingManager.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CVMMIdaApi.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [ArMgrClientAPI.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CvInternetGateway.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CVSimpleDBTables.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CVJobClient.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [GxNTFS.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [LibSnooper.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CvPostOps.exe] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [InstallUtils.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CvLink.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [EvTaskAPI.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [QiSQLite.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [XmlManagedMsgInstall.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CvIDAScan.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CVExplorerPlugin.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CvSync.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CVInstallClient.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [cvhook.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CvJsonLib.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [clutilclasses.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CVBasicLib.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CvManagedLogger.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CLRestoreLib.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [StartClientRestore.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [QIUtils.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [DataServerAPI.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CommonUI.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [dmc_winfs.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CVPatchesUpdateDBClient.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [UpdateNotificationCenter.exe] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [GalaxyUpgrade.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [FirewallSetup.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CLDBengine.exe] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [cvDLPIO.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [FSSolrTransmitter.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CvDiagnostics.exe] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [FailOverSetup.exe] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CvEbml.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CVThrottlingManagerManaged.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [SIMConstantsBridge.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CommonPlatform.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [WinComp.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CLReboot.exe] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [QUninstaller.exe] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CvdLib.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CVXMLMsgsTaskMgr.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CvCurlWrapper.dll] is not present in PkgFileInfo list, tagging it as folder style binary
4484   3784   06/30 06:40:32 ###      File [CLDBTableManager.dll] is not present in PkgFileInfo list, tagging it as folder style binary
