********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : BlrSvc                                                                      *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

6816  1acc  06/30 06:55:25 ### ~BlrTailSvc() - Killing all replicating connections
6816  1acc  06/30 06:55:25 ### ~BlrSvc() - Stopping cleanup thread
6816  1acc  06/30 06:55:25 ### GUI msg helper going down.
6816  1acc  06/30 06:55:25 ### CCvNetworkServer::Quit() - Quit is received.
6816  1b00  06/30 06:55:25 ### CCvIOCPServer::WorkerThread() - Quit flag is set. Exiting.
6816  1b04  06/30 06:55:25 ### CCvIOCPServer::WorkerThread() - Quit flag is set. Exiting.
6816  1b14  06/30 06:55:26 ### CCvNetworkServer::ListenThread() - ListenThread is exiting.
6816  1b14  06/30 06:55:26 ### CCvNetworkServer::Quit() - Quit is received.
6816  1b18  06/30 06:55:26 ### CCvNetworkServer::LogStatisticsThread() - Statistics thread is exiting.
6816  1afc  06/30 06:55:26 ### CCvIOCPServer::CleanUp() - Waiting for IOCP threads to come down
6816  1afc  06/30 06:55:26 ### CCvNetworkServer::SelectData() - Waiting for network server threads to come down
6816  1afc  06/30 06:55:26 ### CCvNetworkServer::SelectData() - Network server threads are down
6816  1afc  06/30 06:55:26 ### Stopping boot "blr_gui_msgs_client" server
6816  1acc  06/30 06:55:26 ### Boot server "blr_gui_msgs_client" stopped.
6816  1acc  06/30 06:55:26 ### [CBLRVMBootManager::_TerminateRunningBoots]: Terminating all ongoing vm boots
6816  1af8  06/30 06:55:26 ### CBLRVMBootManager::_CleanUpExpiredVMs() - Terminating VM Boot Manager's cleanup thread.
6816  1acc  06/30 06:55:26 ### GUI msg helper terminated.
6816  196c  06/30 06:55:26 ### -----------------------------------------------------
6816  196c  06/30 06:55:26 ### -------------------- BLR STOPPED --------------------
6816  196c  06/30 06:55:26 ### -----------------------------------------------------
6816  196c  06/30 06:55:26 ### 
6816  196c  06/30 06:55:26 ### 
6920  1990  06/30 06:57:38 ### 
6920  1990  06/30 06:57:38 ### 
6920  1990  06/30 06:57:38 ### -----------------------------------------------------
6920  1990  06/30 06:57:38 ### -------------------- BLR STARTED --------------------
6920  1990  06/30 06:57:38 ### -----------------------------------------------------
6920  19e8  06/30 06:57:38 ### Successfully loaded BlrSvcLib.dll
6920  19f0  06/30 06:57:38 ### BlrPerf::init() - high_resolution_clock=1/1000000000
6920  19f0  06/30 06:57:38 ### BlrPerf::init() - steady_clock=1/1000000000
6920  19f0  06/30 06:57:38 ### BlrPerf::init() - system_clock=1/10000000
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nEnableJrnComp is not set. Defaulting to 1
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nEnableNetComp is not set. Defaulting to 0
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nEnableNetEnc is not set. Defaulting to 0
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nPerfLogIntervalSecs is not set. Defaulting to 60
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nPerfDiagIntervalSecs is not set. Defaulting to 600
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nPerfDiagDurationSecs is not set. Defaulting to 30
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nAuthTimeoutSecs is not set. Defaulting to 120
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nCtrlTimeoutSecs is not set. Defaulting to 600
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nConnectIntervalSecs is not set. Defaulting to 60
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nKeepAliveIntervalSecs is not set. Defaulting to 600
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nMinRPIntervalSecs is not set. Defaulting to 60
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nMaxRPIntervalSecs is not set. Defaulting to 1200
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nVmStatsPushIntervalSecs is not set. Defaulting to 30
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/sConfigDir is not set. Defaulting to C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\BLR
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/sCacheDir is not set. Defaulting to C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\BLR
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nMaxCacheDiskSizeMB is not set. Defaulting to 8192
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nMaxCacheMemorySizeMB is not set. Defaulting to 300
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nMaxQueueSizeMB is not set. Defaulting to 256
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nAllowBuiltinCerts is not set. Defaulting to 0
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nDumpSectorMD5 is not set. Defaulting to 0
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nRpStoreCacheSizeMB is not set. Defaulting to 1024
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nMaxRpStoreSizeMB is not set. Defaulting to 0
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nSSBlockSize is not set. Defaulting to 262144
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nManualDrvInstall is not set. Defaulting to 0
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nThrottleWrites is not set. Defaulting to 1
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nEnableCrosschecks is not set. Defaulting to 0
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nOptimizeCache is not set. Defaulting to 1
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nForcePeakTime is not set. Defaulting to 0
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nForceOffPeakTime is not set. Defaulting to 0
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nWinFsH2oThreadCount is not set. Defaulting to 1
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nWinFsHasherThreadCount is not set. Defaulting to 4
6920  19f0  06/30 06:57:38 ### BlrReg() - BLR/nPairStatsIntervalSecs is not set. Defaulting to 300
6920  19f0  06/30 06:57:38 ### BlrPerf::init() - Initializing perfomance counters.
6920  19f0  06/30 06:57:38 ### BlrPerf::init() - Will log results every 60 secs
6920  19f0  06/30 06:57:38 ### BlrSvc::init() - Refreshing BLR Config from CS
6920  19f0  06/30 06:57:39 ### isCCSDbEnabled() - Use CCSDb Enabled [0] IsCloudLaptop [0] IsFSCoreLaptop [0]
6920  19f0  06/30 06:57:39 ### Cvcl::init() - CVCL: Running in FIPS Mode
6920  19f0  06/30 06:57:39 ### Initialize         57  Initializing the RpStoreManager. CacheSize [1073741824] bytes
6920  19f0  06/30 06:57:39 ### Thread pool monitor interval [300] seconds, Refresh interval [60] seconds
6920  19f0  06/30 06:57:39 ### Initialize         60  Cluster data blocks will be allocated in units of [32 KB]
6920  19f0  06/30 06:57:39 ### Initialize         65  RpStoreWriterThreads set to 1
6920  19f0  06/30 06:57:39 ### Initialize         92  Successfully initialized the RpStoreManager.
6920  19f0  06/30 06:57:39 ### CVMDiskInfo::GetVDDKInstallPath() - Using vStorage VDDK from [C:\Program Files\Metallic\ContentStore\Base\VMware\VDDK\VDDK602] version [6.0.2 build-3566099]
6920  19f0  06/30 06:57:39 ### CVMDiskInfo::LoadVDDKLibrary() - Successfully loaded VDDK Lib (libeay32.dll) from C:\Program Files\Metallic\ContentStore\Base\VMware\VDDK\VDDK602\bin\libeay32.dll
6920  19f0  06/30 06:57:39 ### CVMDiskInfo::LoadVDDKLibrary() - Successfully loaded VDDK Lib (ssleay32.dll) from C:\Program Files\Metallic\ContentStore\Base\VMware\VDDK\VDDK602\bin\ssleay32.dll
