********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : DLP                                                                         *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

4464  1470  06/30 07:23:28 ### InstanceContext_Init(111) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.884238Z] +++ InstanceContext=[0xFFFF86873E33E720]
4464  14b8  06/30 07:23:28 ### GetIdxPathInfoByInst: Instance [1] has [3] Index Paths.
4464  14b8  06/30 07:23:28 ### GetDDBPathInfoByInst: Instance [1] has [0] DDB Paths.
4464  14b8  06/30 07:23:28 ### GetDLPEnabledInstInfo: SubKeys found [1], Instance count on the machine [1]. DlpEnabledCount [MP:1, DR:0], MPInfo [1]
4464  14b8  06/30 07:23:28 ### CfgPathsToProtect: DLP started blocking MP [1] + DDB [0] + Idx [3] + DR [0] => [4/4] paths. Inst Count [1]
4464  14b8  06/30 07:23:28 ### CfgPathsToProtect: DLP started protecting MP [1] + DDB [0] + Idx [3] + DR [0] => [10/10] paths. Inst Count [1]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(137) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.884257Z] --- InstanceContext=[0xFFFF86873E33E720], status=[0x00000000]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(111) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.884467Z] +++ InstanceContext=[0xFFFF86873E33E8A0]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(137) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.884486Z] --- InstanceContext=[0xFFFF86873E33E8A0], status=[0x00000000]
4464  14b8  06/30 07:23:28 ### CfgCVDLPService: Configured folder policy. Reconfigured = [1], CfgFlg = [0x3a]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(111) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.884867Z] +++ InstanceContext=[0xFFFF86873E340760]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(137) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.884885Z] --- InstanceContext=[0xFFFF86873E340760], status=[0x00000000]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(111) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.885051Z] +++ InstanceContext=[0xFFFF86873E340E20]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(137) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.885069Z] --- InstanceContext=[0xFFFF86873E340E20], status=[0x00000000]
4464  14b8  06/30 07:23:28 ### CfgAllowedProcesses: System proc configured. ImageCount [20]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(111) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.885324Z] +++ InstanceContext=[0xFFFF86873E33FAA0]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(137) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.885341Z] --- InstanceContext=[0xFFFF86873E33FAA0], status=[0x00000000]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(111) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.885545Z] +++ InstanceContext=[0xFFFF86873E33FC20]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(137) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.885568Z] --- InstanceContext=[0xFFFF86873E33FC20], status=[0x00000000]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(111) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.885845Z] +++ InstanceContext=[0xFFFF86873E340EE0]
4464  14b8  06/30 07:23:28 ### CfgAllowedProcesses: DLP successfully set ProcessImagePolicy. Elems [21]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(137) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.885862Z] --- InstanceContext=[0xFFFF86873E340EE0], status=[0x00000000]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(111) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.886032Z] +++ InstanceContext=[0xFFFF86873E33FCE0]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(137) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.886050Z] --- InstanceContext=[0xFFFF86873E33FCE0], status=[0x00000000]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(111) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.886324Z] +++ InstanceContext=[0xFFFF86873E342860]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(137) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.886341Z] --- InstanceContext=[0xFFFF86873E342860], status=[0x00000000]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(111) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.886543Z] +++ InstanceContext=[0xFFFF86873E341EA0]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(137) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.886561Z] --- InstanceContext=[0xFFFF86873E341EA0], status=[0x00000000]
